
=== Target Sell Zone (2021-05-10 to 2022-04-12) ===
Date         | Close    | RSI    | EMA200   | Ext%   | Stoch Bear
2022-03-04   | 2622.87  | 42.56  | 3241.61  | -19.09 | YES       
2022-03-05   | 2666.21  | 44.27  | 3235.88  | -17.60 |           
2022-03-06   | 2550.40  | 40.79  | 3229.06  | -21.02 | YES       
2022-03-07   | 2493.13  | 39.15  | 3221.74  | -22.62 |           
2022-03-08   | 2577.83  | 42.81  | 3215.33  | -19.83 |           
2022-03-09   | 2727.97  | 48.70  | 3210.48  | -15.03 |           
2022-03-10   | 2608.29  | 44.74  | 3204.49  | -18.61 |           
2022-03-11   | 2556.90  | 43.12  | 3198.04  | -20.05 | YES       
2022-03-12   | 2567.86  | 43.59  | 3191.77  | -19.55 |           
2022-03-13   | 2516.05  | 41.84  | 3185.05  | -21.00 |           
2022-03-14   | 2590.66  | 45.26  | 3179.14  | -18.51 | YES       
2022-03-15   | 2620.88  | 46.63  | 3173.58  | -17.42 |           
2022-03-16   | 2775.34  | 53.09  | 3169.62  | -12.44 |           
2022-03-17   | 2814.75  | 54.60  | 3166.09  | -11.10 |           
2022-03-18   | 2940.45  | 59.12  | 3163.84  | -7.06  |           
2022-03-19   | 2951.82  | 59.51  | 3161.73  | -6.64  |           
2022-03-20   | 2861.28  | 54.98  | 3158.74  | -9.42  |           
2022-03-21   | 2892.93  | 56.24  | 3156.10  | -8.34  |           
2022-03-22   | 2970.67  | 59.24  | 3154.25  | -5.82  |           
2022-03-23   | 3037.97  | 61.69  | 3153.10  | -3.65  |           
2022-03-24   | 3112.51  | 64.25  | 3152.69  | -1.27  |           
2022-03-25   | 3104.78  | 63.78  | 3152.22  | -1.50  |           
2022-03-26   | 3146.89  | 65.29  | 3152.16  | -0.17  |           
2022-03-27   | 3297.18  | 70.08  | 3153.61  | 4.55   |           
2022-03-28   | 3333.89  | 71.13  | 3155.40  | 5.66   |           
2022-03-29   | 3402.82  | 73.04  | 3157.86  | 7.76   | YES       
2022-03-30   | 3386.82  | 71.85  | 3160.14  | 7.17   |           
2022-03-31   | 3282.73  | 64.50  | 3161.36  | 3.84   |           
2022-04-01   | 3456.54  | 70.02  | 3164.30  | 9.24   |           
2022-04-02   | 3444.74  | 69.23  | 3167.09  | 8.77   | YES       
2022-04-03   | 3521.59  | 71.48  | 3170.61  | 11.07  |           
2022-04-04   | 3520.81  | 71.42  | 3174.10  | 10.92  |           
2022-04-05   | 3407.32  | 63.48  | 3176.42  | 7.27   | YES       
2022-04-06   | 3168.71  | 50.72  | 3176.34  | -0.24  |           
2022-04-07   | 3228.81  | 53.27  | 3176.87  | 1.64   |           
2022-04-08   | 3193.43  | 51.58  | 3177.03  | 0.52   |           
2022-04-09   | 3260.32  | 54.52  | 3177.86  | 2.59   |           
2022-04-10   | 3202.06  | 51.58  | 3178.10  | 0.75   |           
2022-04-11   | 2979.52  | 42.22  | 3176.12  | -6.19  |           
2022-04-12   | 3029.16  | 44.63  | 3174.66  | -4.58  |           
